Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,11.940000,12.500000,10.274000,10.735000,10.735000,595100
2022-02-01,11.000000,11.000000,9.160000,9.550000,9.550000,716455
2022-03-01,9.580000,9.580000,7.320000,8.719900,8.719900,1440353
2022-04-01,8.670100,9.100000,6.761000,7.540000,7.540000,618087
2022-05-01,7.350000,7.690000,6.410000,7.630000,7.630000,553470
2022-06-01,7.590000,9.065000,7.120000,8.630000,8.630000,514175
2022-07-01,8.390000,8.800000,7.750000,7.890000,7.890000,251316
2022-08-01,7.700000,7.880000,6.820000,7.190000,7.190000,512623
2022-09-01,7.150000,7.200000,5.550000,5.580000,5.580000,243527
2022-10-01,5.520000,5.990000,5.200000,5.630000,5.630000,281269
2022-11-01,5.858000,7.030000,5.720000,6.780000,6.780000,434587
2022-12-01,6.700000,7.320000,6.410100,6.875000,6.875000,409991
2023-01-01,6.990100,8.580000,6.990100,8.259000,8.259000,482358
2023-02-01,8.520000,8.688800,7.420100,7.565000,7.565000,381908
2023-03-01,7.890000,8.099200,6.740000,7.690000,7.690000,626364
2023-04-01,7.720000,8.060000,6.753700,7.010000,7.010000,399791
2023-05-01,7.120000,7.330000,6.450000,6.600000,6.600000,843394
2023-06-01,6.589400,7.090000,6.250000,6.850000,6.850000,759042
2023-07-01,6.950000,7.900000,6.790000,7.900000,7.900000,583055
2023-08-01,7.630000,8.200000,7.180000,7.830000,7.830000,1006837
2023-09-01,7.750000,8.050000,7.300000,7.710000,7.710000,721126
2023-10-01,7.520000,9.150000,7.310000,8.955000,8.955000,602023
2023-11-01,9.053000,11.140000,9.030000,9.940000,9.940000,1264466
2023-12-01,9.700000,10.580000,9.100000,10.020000,10.020000,1314616
2024-01-01,10.020000,10.020000,7.750000,7.830000,7.830000,931649
2024-02-01,7.800000,8.660000,7.610000,8.409000,8.409000,997416
2024-03-01,8.350000,9.500000,8.070000,9.480000,9.480000,491452
2024-03-12,9.310000,9.500000,9.310000,9.480000,9.480000,147908